CustomerID,recency,frequency,monetary,last_purchase,country,R,F,M,RFM,segment
12448,44,1,365.45,2011-10-26 13:46:00,Spain,3,1,2,312,Recent / New
12449,22,4,3596.29,2011-11-17 13:46:00,Belgium,3,3,4,334,Champions
12450,156,2,197.88,2011-07-06 14:41:00,Spain,1,2,1,121,Lapsed / Low
12451,11,5,8995.52,2011-11-29 08:40:00,Switzerland,4,4,4,444,Champions
12452,17,1,348.57,2011-11-23 08:05:00,Switzerland,4,1,2,412,Recent / New
12453,134,1,707.09,2011-07-28 14:08:00,Austria,2,1,3,213,Lapsed / Low
12454,56,1,3528.34,2011-10-14 17:13:00,Spain,2,1,4,214,Lapsed / Low
12455,73,5,2339.86,2011-09-27 15:31:00,Spain,2,4,4,244,At Risk (was valuable)
12456,44,3,2581.04,2011-10-26 14:41:00,Switzerland,3,3,4,334,Champions
12457,66,6,2043.23,2011-10-04 13:13:00,Switzerland,2,4,4,244,At Risk (was valuable)
12458,71,2,787.4,2011-09-29 15:25:00,Switzerland,2,2,3,223,Lapsed / Low
12461,155,1,626.88,2011-07-08 10:23:00,Switzerland,1,1,2,112,Lapsed / Low
12462,19,2,937.59,2011-11-21 09:11:00,Spain,3,2,3,323,Loyal
12463,53,4,1200.78,2011-10-17 13:44:00,Belgium,2,3,3,233,At Risk (was valuable)
12464,10,7,957.05,2011-11-29 13:33:00,Belgium,4,4,3,443,Champions
12465,17,2,682.1899999999999,2011-11-22 16:34:00,Belgium,4,2,3,423,Loyal
12468,188,2,657.54,2011-06-05 11:36:00,Germany,1,2,2,122,Lapsed / Low
12471,2,19,17424.05,2011-12-07 15:43:00,Germany,4,4,4,444,Champions
12472,32,7,6068.11,2011-11-07 14:01:00,Germany,3,4,4,344,Champions
12473,54,3,2596.23,2011-10-17 11:27:00,Germany,2,3,4,234,At Risk (was valuable)
12474,17,17,6745.79,2011-11-22 14:39:00,Germany,4,4,4,444,Champions
12475,54,1,669.38,2011-10-17 10:10:00,Germany,2,1,3,213,Lapsed / Low
12476,16,10,5898.42,2011-11-24 12:40:00,Germany,4,4,4,444,Champions
12477,23,6,13219.74,2011-11-17 09:51:00,Germany,3,4,4,344,Champions
12478,4,1,545.99,2011-12-06 09:56:00,Greece,4,1,2,412,Recent / New
12479,11,1,473.2,2011-11-28 13:26:00,Germany,4,1,2,412,Recent / New
12480,28,4,2885.63,2011-11-11 14:52:00,Germany,3,3,4,334,Champions
12481,23,8,5020.32,2011-11-17 08:29:00,Germany,3,4,4,344,Champions
12483,17,8,1910.98,2011-11-22 17:02:00,Sweden,4,4,4,444,Champions
12484,35,4,3953.72,2011-11-04 15:18:00,Spain,3,3,4,334,Champions
12488,10,3,1244.66,2011-11-30 08:50:00,France,4,3,3,433,Champions
12489,336,1,298.93,2011-01-07 13:13:00,France,1,1,1,111,Lapsed / Low
12490,5,10,4859.93,2011-12-04 16:07:00,France,4,4,4,444,Champions
12491,39,1,424.40000000000003,2011-11-01 12:18:00,France,3,1,2,312,Recent / New
12492,63,2,227.21,2011-10-07 15:15:00,Germany,2,2,1,221,Lapsed / Low
12493,166,2,379.74,2011-06-27 10:17:00,France,1,2,2,122,Lapsed / Low
12494,16,7,1084.1000000000001,2011-11-24 09:34:00,France,4,4,3,443,Champions
12497,82,1,953.1,2011-09-19 12:29:00,Germany,2,1,3,213,Lapsed / Low
12498,21,2,349.70000000000005,2011-11-18 12:53:00,Germany,3,2,2,322,Loyal
12500,23,10,4059.82,2011-11-16 16:20:00,Germany,3,4,4,344,Champions
12501,337,1,2025.39,2011-01-07 12:28:00,Germany,1,1,4,114,Lapsed / Low
12502,96,5,2995.87,2011-09-05 11:52:00,Spain,2,4,4,244,At Risk (was valuable)
12504,18,2,428.04999999999995,2011-11-21 16:02:00,Germany,4,2,2,422,Loyal
12506,233,1,73.5,2011-04-21 08:54:00,France,1,1,1,111,Lapsed / Low
12507,134,3,1052.81,2011-07-28 17:09:00,Spain,2,3,3,233,At Risk (was valuable)
12508,26,2,398.27,2011-11-13 15:37:00,France,3,2,2,322,Loyal
12509,284,1,158.5,2011-02-28 14:45:00,France,1,1,1,111,Lapsed / Low
12510,143,2,814.5699999999999,2011-07-20 10:15:00,Spain,2,2,3,223,Lapsed / Low
12512,66,1,138.03,2011-10-04 14:55:00,Israel,2,1,1,211,Lapsed / Low
12513,113,1,558.29,2011-08-19 10:51:00,France,2,1,2,212,Lapsed / Low
12514,267,1,1017.68,2011-03-17 16:38:00,Italy,1,1,3,113,Lapsed / Low
12515,353,1,278.7,2010-12-21 15:43:00,Italy,1,1,1,111,Lapsed / Low
12516,78,2,1186.06,2011-09-23 09:13:00,Germany,2,2,3,223,Lapsed / Low
12517,28,4,2322.84,2011-11-11 13:57:00,Germany,3,3,4,334,Champions
12518,1,5,1840.89,2011-12-09 10:13:00,Germany,4,4,4,444,Champions
12519,64,1,286.84,2011-10-07 09:26:00,Germany,2,1,1,211,Lapsed / Low
12520,79,5,2346.2599999999998,2011-09-21 15:23:00,Germany,2,4,4,244,At Risk (was valuable)
12521,143,1,545.68,2011-07-20 10:51:00,Germany,2,1,2,212,Lapsed / Low
12522,39,2,156.72,2011-10-31 15:30:00,Germany,3,2,1,321,Loyal
12523,19,11,1699.77,2011-11-20 12:55:00,France,3,4,4,344,Champions
12524,9,8,3945.72,2011-11-30 15:31:00,Germany,4,4,4,444,Champions
12526,1,3,1172.66,2011-12-09 12:09:00,Germany,4,3,3,433,Champions
12527,82,3,330.71000000000004,2011-09-19 11:55:00,Germany,2,3,2,232,At Risk (was valuable)
12528,9,6,1645.48,2011-11-30 14:40:00,Germany,4,4,4,444,Champions
12530,60,4,1500.28,2011-10-11 12:34:00,Germany,2,3,3,233,At Risk (was valuable)
12531,15,1,125.22,2011-11-25 11:12:00,Germany,4,1,1,411,Recent / New
12532,30,1,313.83000000000004,2011-11-09 13:47:00,France,3,1,2,312,Recent / New
12534,131,1,981.18,2011-08-01 10:26:00,Germany,2,1,3,213,Lapsed / Low
12535,92,2,716.35,2011-09-09 08:48:00,France,2,2,3,223,Lapsed / Low
12536,59,1,4279.71,2011-10-11 14:52:00,France,2,1,4,214,Lapsed / Low
12538,29,1,363.95,2011-11-10 17:16:00,Spain,3,1,2,312,Recent / New
12539,22,4,5568.35,2011-11-17 13:30:00,Spain,3,3,4,334,Champions
12540,20,17,11580.24,2011-11-20 11:31:00,Spain,3,4,4,344,Champions
12541,30,3,841.18,2011-11-10 10:40:00,Spain,3,3,3,333,Champions
12544,36,1,316.7,2011-11-03 16:15:00,Spain,3,1,2,312,Recent / New
12545,75,2,832.39,2011-09-25 13:39:00,Spain,2,2,3,223,Lapsed / Low
12546,47,2,1021.5,2011-10-24 12:09:00,Spain,3,2,3,323,Loyal
12547,198,2,151.79999999999998,2011-05-26 12:38:00,Spain,1,2,1,121,Lapsed / Low
12548,166,1,67.19999999999999,2011-06-26 15:35:00,Spain,1,1,1,111,Lapsed / Low
12550,79,1,824.83,2011-09-21 14:35:00,Spain,2,1,3,213,Lapsed / Low
12551,358,1,168.0,2010-12-17 11:23:00,Spain,1,1,1,111,Lapsed / Low
12552,40,1,317.82,2011-10-31 12:11:00,Italy,3,1,2,312,Recent / New
12553,8,10,3278.28,2011-12-01 16:38:00,France,4,4,4,444,Champions
12556,50,2,603.71,2011-10-20 13:06:00,Spain,3,2,2,322,Loyal
12557,16,5,11990.960000000001,2011-11-23 16:59:00,Spain,4,4,4,444,Champions
12558,8,1,269.96,2011-12-02 10:41:00,USA,4,1,1,411,Recent / New
12559,311,2,525.71,2011-02-02 09:49:00,Germany,1,2,2,122,Lapsed / Low
12560,5,2,1918.01,2011-12-04 13:54:00,Germany,4,2,4,424,Loyal
12561,303,1,238.85,2011-02-10 11:39:00,Germany,1,1,1,111,Lapsed / Low
12562,8,7,3385.7400000000002,2011-12-01 17:20:00,France,4,4,4,444,Champions
12564,261,1,402.9,2011-03-23 14:55:00,France,1,1,2,112,Lapsed / Low
12565,289,1,145.92,2011-02-24 10:34:00,Saudi Arabia,1,1,1,111,Lapsed / Low
12566,86,1,297.65,2011-09-14 14:30:00,Germany,2,1,1,211,Lapsed / Low
12567,23,9,8609.28,2011-11-17 11:02:00,France,3,4,4,344,Champions
12569,2,26,3152.69,2011-12-07 16:24:00,Germany,4,4,4,444,Champions
12571,40,2,519.61,2011-10-31 10:19:00,France,3,2,2,322,Loyal
12572,9,2,912.42,2011-12-01 09:20:00,Germany,4,2,3,423,Loyal
12573,227,1,160.54000000000002,2011-04-26 15:52:00,France,1,1,1,111,Lapsed / Low
12574,316,1,182.45000000000002,2011-01-28 09:20:00,France,1,1,1,111,Lapsed / Low
12576,36,5,1315.83,2011-11-04 10:11:00,Poland,3,4,3,343,Champions
12577,35,2,653.85,2011-11-04 13:24:00,France,3,2,2,322,Loyal
12578,21,2,2402.51,2011-11-18 13:30:00,Italy,3,2,4,324,Loyal
12579,78,1,386.42,2011-09-22 17:15:00,France,2,1,2,212,Lapsed / Low
12580,247,1,379.7,2011-04-07 10:24:00,Germany,1,1,2,112,Lapsed / Low
12581,40,1,179.71,2011-10-31 08:56:00,Germany,3,1,1,311,Recent / New
12582,239,2,351.36,2011-04-15 08:45:00,Finland,1,2,2,122,Lapsed / Low
12583,3,15,6705.38,2011-12-07 08:07:00,France,4,4,4,444,Champions
12584,4,9,2254.15,2011-12-06 09:35:00,Italy,4,4,4,444,Champions
12585,234,2,1824.1,2011-04-19 13:39:00,Germany,1,2,4,124,Lapsed / Low
12586,17,1,196.94000000000003,2011-11-22 16:24:00,Italy,4,1,1,411,Recent / New
12587,8,1,104.0,2011-12-02 12:47:00,Finland,4,1,1,411,Recent / New
12588,39,1,174.89999999999998,2011-10-31 15:01:00,Finland,3,1,1,311,Recent / New
12589,29,2,574.68,2011-11-11 10:19:00,France,3,2,2,322,Loyal
12590,211,1,9341.26,2011-05-12 14:46:00,Germany,1,1,4,114,Lapsed / Low
12591,317,1,368.85,2011-01-26 14:35:00,Italy,1,1,2,112,Lapsed / Low
12592,92,2,401.6,2011-09-08 15:04:00,Germany,2,2,2,222,Lapsed / Low
12593,109,3,382.09999999999997,2011-08-23 12:43:00,France,2,3,2,232,At Risk (was valuable)
12594,38,9,3208.2200000000003,2011-11-02 12:20:00,Italy,3,4,4,344,Champions
12596,51,2,450.27,2011-10-19 13:02:00,Spain,3,2,2,322,Loyal
12597,19,4,3195.22,2011-11-20 13:33:00,Spain,3,3,4,334,Champions
12598,10,7,2807.08,2011-11-30 12:18:00,France,4,4,4,444,Champions
12599,29,7,888.58,2011-11-10 13:34:00,France,3,4,3,343,Champions
12600,29,10,2311.04,2011-11-11 10:29:00,Germany,3,4,4,344,Champions
12601,190,5,487.06,2011-06-03 10:17:00,Germany,1,4,2,142,At Risk (was valuable)
12602,59,1,153.12,2011-10-12 11:22:00,France,2,1,1,211,Lapsed / Low
12603,22,1,613.1999999999999,2011-11-18 10:42:00,Germany,3,1,2,312,Recent / New
12604,79,2,236.18,2011-09-21 14:08:00,France,2,2,1,221,Lapsed / Low
12607,60,1,1579.51,2011-10-10 16:06:00,USA,2,1,3,213,Lapsed / Low
12609,78,3,964.85,2011-09-22 16:34:00,Germany,2,3,3,233,At Risk (was valuable)
12610,23,4,1747.54,2011-11-17 09:34:00,Italy,3,3,4,334,Champions
12611,52,1,1193.32,2011-10-18 13:12:00,Italy,2,1,3,213,Lapsed / Low
12612,74,1,668.0400000000001,2011-09-26 15:35:00,Germany,2,1,2,212,Lapsed / Low
12613,57,3,3092.38,2011-10-13 14:59:00,Germany,2,3,4,234,At Risk (was valuable)
12614,278,1,315.6,2011-03-07 10:22:00,Germany,1,1,2,112,Lapsed / Low
12615,2,4,2093.19,2011-12-07 15:02:00,France,4,3,4,434,Champions
12616,95,2,641.3,2011-09-05 15:17:00,France,2,2,2,222,Lapsed / Low
12617,29,1,355.53,2011-11-10 14:39:00,France,3,1,2,312,Recent / New
12618,22,1,137.31,2011-11-18 11:10:00,Italy,3,1,1,311,Recent / New
12619,16,8,2945.56,2011-11-23 14:52:00,Germany,4,4,4,444,Champions
12620,15,3,1303.41,2011-11-25 10:20:00,France,4,3,3,433,Champions
12621,2,17,12411.67,2011-12-08 11:25:00,Germany,4,4,4,444,Champions
12622,232,1,162.1,2011-04-21 16:39:00,Germany,1,1,1,111,Lapsed / Low
12623,276,1,269.1,2011-03-08 13:50:00,Germany,1,1,1,111,Lapsed / Low
12624,106,2,569.13,2011-08-25 15:04:00,France,2,2,2,222,Lapsed / Low
12625,212,2,2413.82,2011-05-12 09:54:00,Germany,1,2,4,124,Lapsed / Low
12626,23,9,5954.48,2011-11-16 16:06:00,Germany,3,4,4,344,Champions
12627,11,6,4082.53,2011-11-29 12:07:00,Germany,4,4,4,444,Champions
12628,4,3,732.46,2011-12-05 13:15:00,Germany,4,3,3,433,Champions
12630,10,2,1030.88,2011-11-30 10:48:00,Finland,4,2,3,423,Loyal
12631,57,1,480.5,2011-10-13 13:53:00,Finland,2,1,2,212,Lapsed / Low
12633,59,4,1929.98,2011-10-12 11:40:00,Germany,2,3,4,234,At Risk (was valuable)
12635,90,2,1509.18,2011-09-11 11:04:00,Germany,2,2,3,223,Lapsed / Low
12637,67,7,5823.9,2011-10-03 13:46:00,France,2,4,4,244,At Risk (was valuable)
12638,33,1,511.69,2011-11-06 13:11:00,Sweden,3,1,2,312,Recent / New
12639,239,1,366.1,2011-04-15 12:48:00,Sweden,1,1,2,112,Lapsed / Low
12640,24,3,994.58,2011-11-16 11:52:00,France,3,3,3,333,Champions
12641,115,1,145.9,2011-08-16 13:26:00,Sweden,2,1,1,211,Lapsed / Low
12642,25,3,905.26,2011-11-14 15:03:00,Germany,3,3,3,333,Champions
12643,128,5,3041.64,2011-08-03 12:56:00,France,2,4,4,244,At Risk (was valuable)
12644,130,1,477.91,2011-08-02 10:33:00,Germany,2,1,2,212,Lapsed / Low
12645,34,4,1631.18,2011-11-06 12:38:00,Germany,3,3,4,334,Champions
12646,5,2,1346.97,2011-12-05 10:14:00,USA,4,2,3,423,Loyal
12647,22,11,3146.82,2011-11-17 12:56:00,Germany,3,4,4,344,Champions
12648,155,1,300.05,2011-07-08 11:55:00,Germany,1,1,1,111,Lapsed / Low
12649,107,2,569.51,2011-08-24 14:41:00,Germany,2,2,2,222,Lapsed / Low
12650,3,1,242.44000000000003,2011-12-06 16:34:00,France,4,1,1,411,Recent / New
12651,335,1,114.0,2011-01-09 12:46:00,France,1,1,1,111,Lapsed / Low
12652,331,1,793.98,2011-01-12 15:00:00,France,1,1,3,113,Lapsed / Low
12653,149,2,2209.85,2011-07-14 10:41:00,Israel,1,2,4,124,Lapsed / Low
12654,11,4,529.98,2011-11-29 10:10:00,Germany,4,3,2,432,Loyal
12656,17,5,3619.17,2011-11-22 13:42:00,France,4,4,4,444,Champions
12657,11,3,1427.18,2011-11-28 15:47:00,France,4,3,3,433,Champions
12658,19,1,632.05,2011-11-21 10:22:00,Germany,3,1,2,312,Recent / New
12659,30,1,73.68,2011-11-10 11:53:00,France,3,1,1,311,Recent / New
12660,11,1,227.1,2011-11-28 13:26:00,France,4,1,1,411,Recent / New
12662,1,10,3543.78,2011-12-09 11:59:00,Germany,4,4,4,444,Champions
12664,8,9,4391.88,2011-12-01 17:07:00,Finland,4,4,4,444,Champions
12665,325,1,45.0,2011-01-19 08:34:00,Germany,1,1,1,111,Lapsed / Low
12667,58,1,460.13,2011-10-12 17:00:00,Finland,2,1,2,212,Lapsed / Low
12668,12,4,3177.15,2011-11-28 10:56:00,Germany,4,3,4,434,Champions
12669,151,2,1427.73,2011-07-12 09:54:00,France,1,2,3,123,Lapsed / Low
12670,10,5,2744.05,2011-11-29 15:23:00,France,4,4,4,444,Champions
12672,330,1,225.89999999999998,2011-01-14 09:20:00,France,1,1,1,111,Lapsed / Low
12673,5,2,574.52,2011-12-04 13:55:00,Germany,4,2,2,422,Loyal
12674,39,4,1844.6,2011-11-01 12:12:00,France,3,3,4,334,Champions
12676,25,6,1091.39,2011-11-15 12:25:00,Sweden,3,4,3,343,Champions
12678,42,8,16331.46,2011-10-28 13:04:00,France,3,4,4,344,Champions
12679,59,4,951.02,2011-10-12 12:30:00,France,2,3,3,233,At Risk (was valuable)
12680,1,4,790.81,2011-12-09 12:50:00,France,4,3,3,433,Champions
12681,15,20,12365.54,2011-11-25 11:33:00,France,4,4,4,444,Champions
12682,4,27,11028.22,2011-12-06 10:00:00,France,4,4,4,444,Champions
12683,4,11,7612.57,2011-12-05 16:28:00,France,4,4,4,444,Champions
12684,8,6,2073.63,2011-12-02 09:53:00,France,4,4,4,444,Champions
12685,28,6,2575.08,2011-11-11 13:46:00,France,3,4,4,344,Champions
12686,372,1,71.14,2010-12-03 09:51:00,France,1,1,1,111,Lapsed / Low
12688,114,1,4873.8099999999995,2011-08-18 08:49:00,Israel,2,1,4,214,Lapsed / Low
12689,26,2,1139.61,2011-11-14 08:31:00,France,3,2,3,323,Loyal
12690,206,1,335.01,2011-05-18 09:09:00,France,1,1,2,112,Lapsed / Low
12691,28,5,927.8,2011-11-11 16:49:00,France,3,4,3,343,Champions
12693,127,4,711.91,2011-08-04 17:51:00,Germany,2,3,3,233,At Risk (was valuable)
12694,70,2,761.67,2011-09-30 13:06:00,France,2,2,3,223,Lapsed / Low
12695,7,4,582.1,2011-12-02 13:22:00,France,4,3,2,432,Loyal
12697,29,3,757.59,2011-11-11 08:47:00,Sweden,3,3,3,333,Champions
12700,8,4,4525.99,2011-12-02 10:47:00,France,4,3,4,434,Champions
12701,80,2,725.71,2011-09-21 10:47:00,Germany,2,2,3,223,Lapsed / Low
12702,20,1,201.0,2011-11-20 10:36:00,Germany,3,1,1,311,Recent / New
12703,71,1,265.55,2011-09-29 17:52:00,Germany,2,1,1,211,Lapsed / Low
12704,7,7,1740.84,2011-12-02 13:15:00,Finland,4,4,4,444,Champions
12705,15,8,6382.29,2011-11-24 13:17:00,Germany,4,4,4,444,Champions
12707,292,1,603.42,2011-02-21 08:38:00,France,1,1,2,112,Lapsed / Low
12708,30,10,2442.91,2011-11-10 09:52:00,Germany,3,4,4,344,Champions
12709,15,15,9430.52,2011-11-24 15:38:00,Germany,4,4,4,444,Champions
12710,97,3,1023.02,2011-09-04 12:00:00,Germany,2,3,3,233,At Risk (was valuable)
12712,29,13,3928.13,2011-11-11 08:19:00,Germany,3,4,4,344,Champions
12713,1,1,794.55,2011-12-09 12:16:00,Germany,4,1,3,413,Recent / New
12714,9,5,4294.86,2011-11-30 15:43:00,France,4,4,4,444,Champions
12715,106,1,273.86,2011-08-25 15:22:00,Sweden,2,1,1,211,Lapsed / Low
12716,4,2,963.49,2011-12-06 08:55:00,France,4,2,3,423,Loyal
12717,151,2,830.98,2011-07-11 14:47:00,Greece,1,2,3,123,Lapsed / Low
12718,71,1,202.25,2011-09-29 16:38:00,France,2,1,1,211,Lapsed / Low
12719,5,2,572.95,2011-12-04 13:45:00,France,4,2,2,422,Loyal
12720,3,21,5115.7300000000005,2011-12-07 08:03:00,Germany,4,4,4,444,Champions
12721,32,6,2386.13,2011-11-08 12:13:00,France,3,4,4,344,Champions
12722,85,4,979.63,2011-09-15 14:50:00,France,2,3,3,233,At Risk (was valuable)
12723,4,3,707.07,2011-12-06 10:19:00,France,4,3,3,433,Champions
12724,5,4,923.41,2011-12-04 16:02:00,France,4,3,3,433,Champions
12725,371,1,371.8,2010-12-03 15:45:00,Italy,1,1,2,112,Lapsed / Low
12726,28,7,2411.1,2011-11-11 13:35:00,France,3,4,4,344,Champions
12727,11,6,3440.7,2011-11-29 11:46:00,France,4,4,4,444,Champions
12728,71,4,728.33,2011-09-29 15:31:00,France,2,3,3,233,At Risk (was valuable)
12729,114,1,417.01,2011-08-18 11:40:00,France,2,1,2,212,Lapsed / Low
12731,24,11,18751.91,2011-11-16 11:59:00,France,3,4,4,344,Champions
12732,180,1,218.26000000000002,2011-06-13 11:33:00,France,1,1,1,111,Lapsed / Low
12733,234,1,383.95,2011-04-19 16:19:00,USA,1,1,2,112,Lapsed / Low
12734,353,1,110.39999999999999,2010-12-22 12:47:00,France,1,1,1,111,Lapsed / Low
12735,315,2,689.5699999999999,2011-01-28 13:37:00,France,1,2,3,123,Lapsed / Low
12736,333,1,144.0,2011-01-11 07:57:00,France,1,1,1,111,Lapsed / Low
